tweet_id retweet_count favorite_count
892420643555336193 8199 37617
892177421306343426 6065 32326
891815181378084864 4011 24354
891689557279858688 8355 40935
891327558926688256 9054 39144
891087950875897856 3004 19681
890971913173991426 1987 11509
890729181411237888 18220 63463
890609185150312448 4125 27068
890240255349198849 7122 31010
890006608113172480 7082 29828
889880896479866881 4811 27046
889665388333682689 9699 46759
889638837579907072 4380 26367
889531135344209921 2175 14701
889278841981685760 5198 24554
888917238123831296 4348 28325
888804989199671297 4133 24849
888554962724278272 3418 19282
888078434458587136 3367 21162
887705289381826560 5198 29375
887517139158093824 11305 45011
887473957103951883 17545 67035
887343217045368832 10075 32738
887101392804085760 5756 29737
886983233522544640 7505 34158
886736880519319552 3153 11707
886680336477933568 4315 21828
886366144734445568 3093 20610
886267009285017600 4 116
886258384151887873 6095 27230
886054160059072513 105 0
885984800019947520 6551 31705
885528943205470208 6216 34987
885518971528720385 3625 19880
885311592912609280 17927 0
885167619883638784 4239 21304
884925521741709313 17630 75141
884876753390489601 5432 27124
884562892145688576 4529 23617
884441805382717440 5482 26259
884247878851493888 19842 70881
884162670584377345 2884 19803
883838122936631299 3331 21289
883482846933004288 9601 44638
883360690899218434 3588 22058
883117836046086144 6446 36148
882992080364220416 3799 23285
882762694511734784 4736 27524
882627270321602560 5895 27170
882268110199369728 11223 43700
882045870035918850 4794 28547
881906580714921986 3288 23646
881666595344535552 10340 49210
881633300179243008 7 124
881536004380872706 15455 48085
881268444196462592 5026 22491
880935762899988482 2698 16587
880872448815771648 3706 20685
880465832366813184 6080 27754
880221127280381952 4085 26289
880095782870896641 4204 26872
879862464715927552 3385 21741
879674319642796034 10 302
879492040517615616 3080 22802
879415818425184262 42898 102977
879376492567855104 3018 16357
879130579576475649 6601 0
879050749262655488 4557 21932
879008229531029506 2613 18475
878776093423087618 4002 18893
878604707211726852 6975 29398
878404777348136964 1248 0
878316110768087041 6443 0
878281511006478336 1248 7529
878057613040115712 6601 40936
877736472329191424 18513 77528
877611172832227328 78 0
877556246731214848 3691 22144
877316821321428993 5041 26687
877201837425926144 5423 26419
876838120628539392 3242 20152
876537666061221889 4507 22944
876484053909872640 2324 18276
876120275196170240 4547 27226
875747767867523072 4164 24553
875144289856114688 4804 21377
875097192612077568 5894 26711
875021211251597312 4598 24843
874680097055178752 4522 27130
874434818259525634 14315 0
874296783580663808 4001 25416
874057562936811520 3850 22147
874012996292530176 10137 33679
